fecha,zona_residencia,zona_pernoctacion,personas
20230701,33004,32001_AM,5001
20230701,3302403,41004,4363
20230701,3302405,21042,8088
20230701,3302407,15036,14506
20230701,33034,12004,3828
20230701,33037,36030_AM,2924
20230701,33037,47004_AM,6924
20230701,3304401,03047,5314
20230701,3304401,33042,2787
20230701,3304403,33020_AM,20258
20230701,3304404,24122_AM,17779
20230701,3304405,10189,5656
20230701,3304407,15048,3784
20230701,3304409,05014_AM,486
20230701,3304411,07032,3604
20230701,3304412,28125,4181
20230701,33056,24212_AM,4441
20230701,34080,18140,3505
20230701,34080,40170_AM,3376
20230701,3412005,46235,2242
20230701,3412007,26036,10613
20230701,35014,28053,5127
20230701,3501701,41086,742
20230701,35023,38047,604
20230701,3502604,35023,3017
20230701,3600302,32076_AM,5068
20230701,3602201,32042_AM,3055
20230701,3602602,28079,16736
20230701,3603902,36045,6857
20230701,36048,15078,2668
20230701,36048,36042,9259
20230701,3605402,21005,4421
20230701,3605702,24222,2926
20230701,3605704,05242_AM,3318
20230701,3727401,21042,9196
20230701,3727406,05186_AM,20385
20230701,3802304,15078,613
20230701,3802604,38048,2558
20230701,38034,35012,7388
20230701,38035_AM,15085,2051
20230701,3803801,38015,4772
20230701,3803809,35014,12693
20230701,3803811,38018,4383
20230701,3900801,34120,5502
20230701,3901601,39009_AM,16067
20230701,39027_AM,39061,3682
20230701,3907502,23092,3075
20230701,3907507,11012,3778
20230701,4019401_AD,47085,3828
20230701,4019403,13098_AM,4455
20230701,4019406,05054_AM,3145
20230701,4100404,18157_AM,1852
20230701,4101601,21010,18076
20230701,41019,08279,2944
20230701,41029,15065,4663
20230701,4103801,14036,3659
20230701,4103803,41081,4661
20230701,4103902,29082_AM,16138
20230701,41050,41041_AM,4099
20230701,41052,08155,1671
20230701,4105302,29067,5016
20230701,4105302,41055,5016
20230701,4106003,41039,6986
20230701,41064,11032,3865
20230701,4106901,30009,2491
20230701,41070,29082_AM,4881
20230701,41090,04038,3236
20230701,4109103,17095,22
20230701,4109103,37067_AM,22
20230701,4109104,07015,2602
20230701,4109105,21043_AM,80295
20230701,4109108,23092,3329
20230701,4109109,13034,2455
20230701,4109505,41903,1128
20230701,41097,32032,392
20230701,42004_AM,31078_AM,5457
20230701,42035_AM,10177_AM,1737
20230701,42129_AM,42129_AM,2090722
20230701,43007_AM,03902,20
20230701,43012,46145,2472
20230701,43014,43156,23217
20230701,43016,46007_AM,1995
20230701,43028,43123,717
20230701,43064_AM,43019_AM,5844
20230701,43064_AM,43128_AM,4065
20230701,4312303,15073,2392
20230701,43126_AM,44059_AM,517
20230701,43126_AM,44246_AM,4981
20230701,4314803_AD,43123,30753
20230701,4314804,25234,3385
20230701,44216,08019,35735
20230701,44216,25025_AM,4125
20230701,44216,46238,5622
20230701,45002,45128,2409
20230701,45012_AM,28015,3812
20230701,45031,30016,16917
20230701,45054,28049,4652
20230701,45078_AM,45197,1977
20230701,4508703,04013,7823
20230701,4516502,08007,2536
20230701,4516503,13053_AM,3458
20230701,4516503,45161,3602
20230701,4516804_AD,26089,4228
20230701,45181,45168,2148
20230701,45189_AM,39080,3268
20230701,45199,03094,1885
20230701,45203,15052,3371
20230701,46007_AM,02081,3413
20230701,46009,46260,2935
20230701,46037_AM,46131,44826
20230701,46062,46131,35088
20230701,46081,12033_AM,9095
20230701,46085,35034,593
20230701,46094,03065,5394
20230701,46105,46139,2322
20230701,46116,48078,3255
20230701,4613105,46218_AM,51287
20230701,46132,28106,2898
20230701,46155_AM,46244,1596
20230701,46160_AM,12011_AM,6826
20230701,46163,12104,2361
20230701,4617102,46207,12077
20230701,46186,46150_AM,5376
20230701,46194,12082,8177
20230701,46205,16042_AM,6312
20230701,46230,03102,6594
20230701,46233,07024,1465
20230701,4623803,03048,2183
20230701,4624403,46078,30698
20230701,4624404,46054,10643
20230701,4625005,29070,4318
20230701,4625005,46051,11295
20230701,4625007,15066,3559
20230701,4625008,03041,18325
20230701,4625008,13087,5197
20230701,4625010,46230,35791
20230701,4625014,41081,5242
20230701,4625015,42035_AM,3216
20230701,47010,47197_AM,22302
20230701,47052,47165,21794
20230701,47161,09194,302
20230701,4718606,46186,4154
20230701,4718607,38040,3932
20230701,4718608,43051,2388
20230701,4718608,45040_AM,2405
20230701,4718610,16102_AM,2822
20230701,4801307,35024,2835
20230701,48018_AM,43092,2551
20230701,4802005,03047,10503
20230701,4802007,26036,3117
20230701,48036,27025,3392
20230701,48038_AM,17178_AM,10
20230701,4804401,39080,2717
20230701,4808404,43905,517
20230701,4890202,01002,3483
20230701,4890202,39002,14083
20230701,48910_AM,28079,7583
20230701,49021,36057,3655
20230701,4927505,49193_AM,59794
20230701,50055_AM,17095,5187
20230701,50055_AM,35016,292
20230701,50160,22054_AM,2576
20230701,50225_AM,12089,15696
20230701,50235_AM,20069,6573
20230701,5029705,50115,49522
20230701,5200108,04050_AM,5207
