fecha,zona_residencia,zona_pernoctacion,personas
20230701,2807913,2305902,2637
20230701,2807913,2807906,260917
20230701,2807913,28172,7980
20230701,2807913,3501602,10002
20230701,2807914,4625003,3141
20230701,2807915,13093_AM,10262
20230701,2807915,28004,30395
20230701,2807915,2804901,17913
20230701,2807915,33070,14295
20230701,2807916,0208104,13736
20230701,2807916,1013101,8412
20230701,2807916,14067,3020
20230701,2807917,45192_AM,24506
20230701,2807918,27024_AM,2414
20230701,2807918,3501802,4163
20230701,2807919,28022,18227
20230701,2807920,0309002,5725
20230701,2807920,33074_AM,2713
20230701,2807921,0306605,5645
20230701,2808001,0313903,20448
20230701,28089,1306101,2409
20230701,2809202,3906002,2409
20230701,2809203,2807921,17512
20230701,28106,24202,8508
20230701,28106,28181,6238
20230701,2811301,28050,4784
20230701,2811302,50034_AM,4204
20230701,2811502,0801902,16250
20230701,2811502,3605101,8195
20230701,28123,05204_AM,77741
20230701,28123,1507802,2902
20230701,28123,23080_AM,3437
20230701,28127,46072,3082
20230701,2813101,0305001,7745
20230701,28134,36009_AM,3205
20230701,28134,3803806,8139
20230701,2814801,2807921,54932
20230701,2814802,10140_AM,2561
20230701,2814802,1808707,3737
20230701,2814802,42043_AM,7248
20230701,2816102,19280,6073
20230701,28176,15046,3297
20230701,29015_AM,0818002,902
20230701,29015_AM,23019_AM,721
20230701,29015_AM,24209,3648
20230701,2902503,18071_AM,3465
20230701,29055,2807905,1781
20230701,2906706,1503605_AD,2612
20230701,2906707,07005,4438
20230701,2906707,1402106,12142
20230701,2906708,1405605,26272
20230701,2906904,0401307,5550
20230701,29070,4109505,6658
20230701,29082_AM,1308204,8780
20230701,2909401,3304408,2738
20230701,3001610,30015,19356
20230701,3003002,0309905,583954
20230701,3003002,0406602,14581
20230701,3003004,30036,522201
20230701,3003006,3001601,9515
20230701,30035,18165,2763
20230701,30036,17086_AM,5360
20230701,30038,30005,4502
20230701,30902,07042,2998
20230701,31029_AM,31191_AM,1600
20230701,3120103,4625012,6322
20230701,3120107,17181,3631
20230701,3120107,26064,7939
20230701,3122701,43013,6481
20230701,3123204,2411505,3595
20230701,31258,24157_AM,2577
20230701,31906_AM,39006_AM,6380
20230701,3205401,28033,3426
20230701,3205402,1503003,6884
20230701,32091_AM,3302409,6303
20230701,33016,36047_AM,7467
20230701,33020_AM,33070,18297
20230701,3302404,03042,4059
20230701,3302406,0608303,3277
20230701,3302407,0303101,10806
20230701,3302409,22907_AM,2365
20230701,3302409,26061_AM,2795
20230701,33031,47197_AM,3451
20230701,33032,49003_AM,2417
20230701,33033,0801908,2598
20230701,3304406,28123,8376
20230701,33051_AM,16027_AM,2426
20230701,33051_AM,3304411,2426
20230701,33057_AM,34047_AM,3633
20230701,33066,33016,65281
20230701,34080,2906706,3820
20230701,3412002,3905201,4750
20230701,3412004,4927501,2176
20230701,3412007,26071_AM,3177
20230701,35006,35028,9000
20230701,35012,3304401,14988
20230701,3501603,2807913,13968
20230701,3501703,2800701,2552
20230701,3502202_AD,3502203,70649
20230701,35024,35034,216902
20230701,3502605,3802301,13348
20230701,36005,05240_AM,4202
20230701,36018_AM,3605101,3592
20230701,36042,0801902,9738
20230701,3604501,2906704,4376
20230701,3604902,3603803,1896
20230701,36055,3605708,47667
20230701,3605703,0704002,4438
20230701,3605707,33056,5689
20230701,3605708,24202,2461
20230701,37073_AM,0304702,5222
20230701,37107,05186_AM,1089
20230701,3727403,2807902,15555
20230701,3727404,06066_AM,2758
20230701,3727404,2408906,5688
20230701,37376_AM,37362,2143
20230701,38005,0105902,4394
20230701,3802203,38001,18642
20230701,3803801,38053_AM,16735
20230701,3803806,26047_AM,7874
20230701,3803806,5029703,4117
20230701,3803810,38032,31694
20230701,3803812,3801102,19727
20230701,38040,3802803,7773
20230701,3902002,2408910,5350
20230701,39038_AM,2905403,1952
20230701,3905201,3908702,5416
20230701,3905901,3905201,7002
20230701,3906002,2408909,3181
20230701,39062_AM,4802006,4994
20230701,3907504,1101505,15270
20230701,3907507,1102704,4310
20230701,3907507,2807919,3722
20230701,40041_AM,47112_AM,5714
20230701,4019404,4717501,5113
20230701,4019407,40225_AM,19326
20230701,4100404,41036,5414
20230701,4101103,4109201,2711
20230701,41017,1101208,2618
20230701,41018,4102002,7649
20230701,41021,23006,2040
20230701,41021,41026,14921
